Model Name,hy-mt2-1.8b
IP Address/Port,74.2.96.26:32232
Parameters,"temperature=0.7,top_p=0.6,top_k=20,max_tokens=4096,repetition_penalty=1.05"

Input,Expected Output,Actual Output,Time Taken (s)
実験的なワクチンでエボラの死亡率が減るように見えますが、今までのところ、既存の感染症の治療に適しているとはっきり実証された薬剤はありません。,虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。,"It appears that experimental vaccines can reduce the mortality rate of Ebola, but so far, there is no clearly proven drug that is suitable for treating existing infectious diseases.",0.2853
抗体カクテルの1つであるZMappは、当初はこの分野で有望視されていましたが、正式な研究では期待されたほどの死亡予防効果がないことが示されました。,一种名为 ZMapp 的“抗体鸡尾酒”（多抗体联合）最初有望在该领域发挥作用，但正式研究表明，它在预防死亡方面的效果有些不尽人意。,"ZMapp, which is one of the antibody cocktails, was initially regarded as promising in this field, but formal studies showed that it had no mortality prevention effect as expected.",0.2973
PALM試験では、ZMappは対照薬として使用され、科学者たちはZMappを基準として、他の3つの治療法と比較しました。,在 PALM 实验中，ZMapp 用作参照。也就是科学家将其作为基线，把其他三种治疗方法与之作比较。,"In the PALM trial, ZMapp was used as a control drug, and scientists compared ZMapp with the other three treatment methods based on it.",0.2879
米国体操連盟（USA Gymnastics）は、米国オリンピック委員会の書簡を支持し、選手全員のための安全な環境づくりを促進するためにオリンピックファミリーの絶対的な必要性を受け入れます。,美国体操协会对美国奥委会的信函表示支持，并接受奥运会大家庭的严格要求，即为所有运动员营造一个安全的训练环境。,The USA Gymnastics Federation supports the letter from the US Olympic Committee and accepts the absolute necessity of the Olympic Family to create a safe environment for all athletes.,0.2865
私たちは、資格を剥奪するよりも、組織内で意味のある変革を進めた方が選手やクラブ、そしてスポーツに資する可能性があるというUSOCの声明に同意しています。,我们同意美国奥委会的声明，与其吊销执照，不如在我们组织内部继续推进有意义的变革，可能更有利于维护运动员和俱乐部的利益及其运动。,"We agree with the USOC’s statement that it may be more beneficial for athletes, clubs, and sports to achieve meaningful change within the organization rather than having their qualifications revoked.",0.2974
米国体操連盟は、ラリー・ナッサー氏の遺族が勇気を持って説明したような虐待がなぜ長期に渡って発覚しなかったかを明らかにするための第三者による調査に協力し、必要かつ適切な変化を受け入れる所存です。,根据美国体操协会支持的一项独立调查，我们也许能够得知，幸存者勇敢曝光的、拉里·纳萨尔的大规模性侵行为，为什么在这么长时间内都没有被发现。此外，协会还表示会做出必要和适当的整改。,"The US Gymnastics Federation is willing to cooperate with a third-party investigation to clarify why the abuse, as courageously explained by Larry Nassar’s family, was not exposed over a long period of time, and to accept the necessary and appropriate changes.",0.3512
米国体操連盟とUSOCは同じ目標を掲げています。アスリートが安全かつ前向きに力を発揮できる環境で夢を追いかけられるように、スポーツとしての体操やその他のスポーツをできるだけ安全なものにすることです。,美国体操协会和美国奥委会有一个共同的目标，那就是尽可能保证体操运动和其他运动的安全性，让运动员在安全、积极和充满支持的环境中追求他们的梦想。,"The US Gymnastics Federation and USOC share the same goal. It is to make gymnastics and other sports as safe as possible, so that athletes can pursue their dreams in an environment where they can perform their skills safely and positively.",0.3423
1960年代を通して、ブレジンスキーはジョン・F・ケネディの顧問を務め、その後リンドン・B・ジョンソン政権でも活躍しました。,20 世纪 60 年代，布热津斯基先是为约翰·福特·肯尼迪效力，担任他的顾问，后来又为林登·贝恩斯·约翰逊政府工作。,"During the 1960s, Brezhinsky served as John F. Kennedy’s advisor, and later played a significant role in the Lyndon B. Johnson administration.",0.2995
1976 年の大統領選ではカーターの外交政策について助言し、1977 年から 1981 年まで国家安全保障顧問（NSA）を務め、ヘンリー・キッシンジャーの後を継ぎました。,在 1976 年总统选举期间，他为卡特提供了对外政策方面的建议，随后在 1977 到 1981 年接替亨利·基辛格担任国家安全顾问 (NSA) 。,"In the 1976 presidential election, he advised Carter on foreign policy. From 1977 to 1981, he served as National Security Advisor (NSA), succeeding Henry Kissinger.",0.3377
NSAとしてカーターを補佐し、1978年のキャンプ・デイビッド合意、1970年代後半の米中関係の正常化、1979年のイラン人質事件につながったイラン革命、1979年のソビエトのアフガニスタン侵攻など、世界問題を外交的に処理した。,身为国家安全顾问，他曾协助卡特处理诸多国际事务，例如 1978 年签署《戴维营协议》；在20 世纪 70 年代末实现美中关系正常化；1979 年导致伊朗人质危机的伊朗革命；1979 年苏联入侵阿富汗。,"As the NSA, he assisted Carter in handling global issues such as the Camp David Agreement of 1978, the normalization of U.S.-China relations in the late 1970s, the Iranian Revolution that led to the Iranian hostage crisis of 1979, and the Soviet invasion of Afghanistan in 1979.",0.4102
ライアン・ゴズリングとエマ・ストーンが出演したこの映画は、すべての主要部門でノミネートされました。,这部由瑞恩·高斯林 (Ryan Gosling) 和艾玛·斯通 (Emma Stone) 主演的电影获得了各大奖项的提名。,The film in which Ryan Gosling and Emma Stone appeared was nominated for all major awards.,0.2355
ゴズリングとストーンはそれぞれ主演男優賞と女優賞にノミネートされました。,高斯林和斯通分别获得了最佳男主角和最佳女主角的提名。,Gosling and Stone were each nominated for the Best Actor and Best Actress awards.,0.2355
最優秀作品賞、監督賞、撮影賞、衣装デザイン賞、映画編集賞、作曲賞、美術賞、音響編集賞、録音賞、脚本賞などにノミネートされました。,其他提名包括最佳影片、最佳导演、最佳摄影、最佳服装设计、最佳电影剪辑、最佳原创配乐、最佳艺术指导、最佳音效剪辑、最佳混音和最佳原创剧本。,"It was nominated for the Best Film Award, Director Award, Cinematography Award, Costume Design Award, Film Editing Award, Music Composition Award, Art Award, Sound Editing Award, Recording Award, Screenplay Award, and more.",0.3389
映画に収録されている「オーディション（The Fools Who Dream）」と「シティ・オブ・スターズ」の2曲が最優秀オリジナル曲にノミネートされました。ライオンズゲート・スタジオは、他のどのスタジオよりも多い26のノミネートを受けました。,该电影的两首歌曲《追梦痴子心》和《星光之城》获得了最佳原创歌曲的提名。狮门影业获得了 26 项提名，比其他任何一家工作室都要多。,"Two songs from the film, “The Fools Who Dream” and “City of Stars,” were nominated for Best Original Song. Lionsgate Studio received 26 nominations, more than any other studio.",0.314
日曜深夜、ドナルド・トランプ米大統領は報道官経由で配信された声明において、米軍がシリアから撤退することを発表しました。,周日晚些时候，美国总统唐纳德·特朗普通过新闻秘书发表声明，宣布美军将撤离叙利亚。,"On Sunday night, U.S. President Donald Trump announced via his spokesperson that U.S. forces would withdraw from Syria in a statement released by the spokesperson.",0.2797
本件は、トランプ大統領がトルコのレセップ・タイップ・エルドアン大統領と電話会談した後で発表されました。,特朗普与土耳其总统雷杰普·塔伊普·埃尔多安（Recep Tayyip Erdoğan）通话后发表了声明。,This was announced after President Trump held a phone conversation with Turkish President Recep Tayyip Erdoğan.,0.2459
トルコはまた、捉えられたISIS戦闘員の警備を引き継ぐことになり、声明によれば、欧州諸国は戦闘員の本国送還を拒否している。,该声明称，土耳其还将接管对被捕的伊斯兰国武装分子的看守任务；欧洲国家拒绝将他们遣送回国。,"Turkey will also take over the security of the captured ISIS fighters; according to a statement, European countries are refusing to return the fighters to their home countries.",0.2894
これは、少なくとも一部の恐竜が羽を持っていたことを確認するだけでなく、色や立体配置など、一般的には化石にはない詳細な点を伝えています。,这不仅证实了至少有些恐龙有羽毛——这一理论已经广为流传——而且还提供了化石通常无法提供的细节，比如颜色和三维排列。,"This not only confirms that at least some dinosaurs had wings, but also provides detailed aspects such as color and three-dimensional arrangement, which are generally not present in fossils.",0.289
.科学者によると、この動物の羽毛は外側が栗色で内側が暖色系の色でした。,科学家表示，这种动物的羽毛顶部为栗棕色，底部为浅色或胡萝卜色。,"According to scientists, the feathers of this animal were chestnut-colored on the outside and warm-toned on the inside.",0.2544
この発見はまた、鳥類の羽毛の進化について探るための手がかりとなるものでした。,这一发现也有助于深入了解鸟类羽毛的进化。,This discovery also served as a clue for exploring the evolution of bird feathers.,0.2204
恐竜の羽毛には羽軸と呼ばれる十分に発達した軸がないものの、他の羽毛の特徴である綿羽や小羽枝があることから、研究者らは羽軸はこうした他の特徴よりも後に起きた進化であった可能性が高いと推測しています。,恐龙的羽毛并没有发育良好的主干——这称为“羽轴”，但还是有羽毛的其他特征，比如羽枝和羽小枝，研究人员推断羽轴的进化可能比这些其他特征晚。,"Although dinosaur feathers lack a well-developed shaft called the ""feather axis,"" the presence of characteristics common to other feathers such as cotton-like fibers and small feather branches suggests that the development of the feather axis was likely a later evolutionary process compared to these other features.",0.3511
羽毛の構造から、飛行の目的ではなく、体温調節や視覚的効果に使用されていたと推測されます。研究者らは、これが若い恐竜の尾であるにもかかわらず、標本は大人の羽毛を示しており、ヒヨコの羽毛ではないことを示唆しました。,羽毛的结构表明它们不是用来飞行的，而是用来调节温度或炫耀的。研究人员认为，尽管这是一只年轻恐龙的尾巴，但样本显示的是成熟的羽衣，而不是幼崽的羽毛。,"Based on the structure of the feathers, it is believed that they were used for thermoregulation and visual effects rather than for flight. Researchers suggested that although this was the tail of a young dinosaur, the specimen shows feathers of an adult, not those of a chick.",0.3598
研究者らは、この標本が若い恐竜の尻尾であるにもかかわらず、ひなの羽毛ではなく大人の羽毛が生えていることを示唆している。,研究人员认为，尽管这是一只年轻恐龙的尾巴，但样本显示的是成年羽毛，而非雏龙的绒毛。,"The researchers suggest that although this specimen is the tail of a young dinosaur, it contains feathers of an adult, not those of a chick.",0.2767
昨日の朝、トルコのガジアンテップの警察本部で自動車爆弾の爆発により、警官2人が死亡し、負傷者は20人を超えました。,昨日上午，土耳其加齐安泰普（Gaziantep）的警察总部发生了一起汽车炸弹爆炸事件，该事件导致两名警察死亡，20 余人受伤。,"Yesterday morning, two police officers were killed and over 20 people were injured due to the explosion of a car bomb at the Turkish Gajantep police headquarters.",0.29
知事室の報道によれば、負傷者のうち19人は警官でした。,州长办公室表示，伤者中有十九人是警察。,"According to reports from the governor’s office, 19 of the injured were police officers.",0.2387
警察は、攻撃に関与した過激派ダーシュ（ISIL）を疑っていると述べました。,警方说他们怀疑一名疑似伊斯兰国 (ISIL) 的武装分子发动了这场袭击。,"The police said they suspect Daesh, a extremist group involved in the attack, ISIL.",0.2441
彼らは、太陽が他の星と同じ基本原理で動いていることを発見しました。星系内にあるすべての星の活動は、その光度と自転によってのみ駆動され、その他の要因はないことがわかりました。,他们发现，太阳和其他恒星的运行原理是一样的：星系中所有恒星的活跃度都完全决定于它们的光度和自转。,"They discovered that the sun operates according to the same fundamental principles as other stars. It was found that the activity of all stars within a galaxy is driven solely by its luminosity and rotation, with no other factors involved.",0.3215
光度と自転の組み合わせから、プラズマ流に関係する星のロスビー数が決定されます。,一颗恒星的罗斯贝数由其光度和旋度共同决定，与等离子体流有关。,"From the combination of luminosity and rotation, the Rosby number of stars related to plasma flow is determined.",0.2501
ロスビー数が小さいほど磁気反転に関して星の活性が低下するわけです。,罗斯贝数越小，恒星在磁场倒转方面就越不活跃。,"The smaller the Rosby number, the less active the star becomes in terms of magnetic reversal.",0.2513
旅の途中、岩崎さんは何度もトラブルに見舞われました。,在旅途中，岩崎在很多场合碰到了麻烦。,"During the trip, Iwazaki-san encountered multiple problems.",0.2173
海賊に襲われたり、チベットで狂犬に襲われたり、ネパールでの結婚から逃れたり、インドで逮捕されたりしたのです。,他曾被海盗抢劫，在西藏被疯狗袭击，在尼泊尔逃婚，还曾在印度被捕。,"I was attacked by pirates, attacked by a mad dog in Tibet, escaped from marriage in Nepal, and was arrested in India.",0.268
802.11n規格に準拠していれば、2.4Ghzまたは5.0Ghzのどちらの周波数でも通信可能です。,802.11n 标准在 2.4Ghz 和 5.0Ghz 频率上都可运行。,"If it complies with the 802.11n standard, communication is possible at either 2.4Ghz or 5.0Ghz frequencies.",0.284
これにより、基地局がデュアルバンド無線を搭載していれば、802.11a、802.11b、802.11gとの下位互換性を確保することができます。,它能向后兼容 802.11a、802.11b 和 802.11g，前提是基站要有双无线电。,"This allows, if the base station is equipped with dual-band radio, to ensure lower-level compatibility with 802.11a, 802.11b, and 802.11g.",0.3912
802.11nの速度は、600Mbit/秒という理論上の最大スループットを持つ従来型の速度よりも大幅に高速です。,802.11n 的速度大大快于前代技术，最大理论吞吐量可达 600Mbit/s。,"The speed of 802.11n is significantly faster than that of traditional standards, which have a theoretical maximum throughput of 600 Mbit/s.",0.2745
既婚者であり、成人した2人の子を持つデュバルは、この話に関係するミラーにあまり印象を残しませんでした。,杜瓦尔已婚，有两个已经成年的孩子，他并没有给故事的讲述者米勒留下太大印象。,"A married man with two adult children, Duvall, left little impression on Miller involved in this story.",0.2443
コメントを求められたミラー氏は、「公聴会ではマイクがよくしゃべるので、私は準備をしていたので、何を言っているのかよく聞こえなかった」と述べた。,当被要求发表看法时，米勒说：“迈克在听证会上说了很多……我当时正在做准备，所以没听清他在说什么。”,"Mr. Miller, who was asked for comments, said, “During the public hearing, the microphone worked well, so I was prepared, but I couldn’t hear clearly what they were saying.”",0.3177
「我々は、2020年までにGDPあたりの二酸化炭素排出量を2005年の水準から大幅に削減するように努力する」と胡錦濤国家主席は述べました。,“到 2020 年之前，我们将努力使单位国内生产总值二氧化碳排放量比 2005 年显著下降，”胡锦涛说。,"“We will strive to significantly reduce carbon dioxide emissions per GDP by 2020 compared to 2005 levels,” said President Hu Jintao.",0.2817
胡氏は、削減する数値を定めませんでしたが、削減は中国の経済産出量に基づいて実施されるだろうと述べました。,他没有设定削减数额，只是表示将根据中国的经济产出来决定数额。,"Hu said that no specific figure was set for the reduction, but the reduction would be implemented based on China's economic output.",0.263
胡錦濤国家主席は、発展途上国に「まず汚染してから後始末をするというこれまでのやり方を避けるように」と呼びかけました。,胡锦涛鼓励发展中国家“不要重走先污染后治理的老路”。,President Hu Jintao called on developing countries to “avoid the old approach of polluting first and dealing with the consequences later.”,0.2644
「しかし、発展段階、責任、能力を超えた義務を負うことを求められてはならない」と付け加えました。,他补充道，“然而，他们不应该被要求承担超出其发展阶段、责任和能力范围的义务。”,"“However, it should not be demanded that one be required to bear obligations beyond the stage of development, responsibility, and ability,” he added.",0.2782
イラク研究会は、本日12時GMTに報告書を公開しました。,伊拉克研究小组于格林尼治时间 (GMT) 今天 12 点提交了报告。,The Iraq Research Group released its report at 12 PM GMT today.,0.2206
警告の内容は、現時点でイラクでどのような行動をとっても、宗派間抗争や暴力の拡大、あるいは混沌への滑落を阻止しうると保証できる者はいないというものでした。,报告警告称，没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争、不断增长的暴力或走向混乱。,"The warning stated that at this point, there is no one who can guarantee that any action taken in Iraq will prevent sectarian conflict, the spread of violence, or a fall into chaos.",0.3084
報告書の冒頭は、公開討論と中東政策について米国内のコンセンサス形成を嘆願する一節で始まっています。,该报告开篇呼吁美国就中东政策展开公开辩论并形成共识。,The beginning of the report begins with a section that pleads for a consensus within the United States on public discussion and Middle East policy.,0.267
本報告書は、イラクに対する行政府の現在の政策のほぼすべての側面を強く批判し、即時の方向転換を促すものです。,该报告对行政当局目前对伊拉克政策的几乎每一个方面都提出了严厉批评，并敦促立即改变方向。,This report strongly criticizes almost all aspects of the current government policy towards Iraq and calls for an immediate shift in direction.,0.2539
78ある提言うち最初に挙げられているのは、敵対的な介入に対してイラクの国境を確保し、近隣諸国との外交関係を再び確立するために、年内に新たな外交主導権を発揮するべきだというものです。,在这份报告的 78 项建议中，第一条建议是在今年年底之前采取新的外交行动，目的在于保护伊拉克的边界免受敌对势力的侵害，并与邻国重建外交关系。,"Of the 78 recommendations, the first one is that Iraq should assume new diplomatic leadership by the end of the year in order to secure its borders against hostile interventions and re-establish diplomatic relations with neighboring countries.",0.319
昨晩、ブエノスアイレスから50キロ（31マイル）離れたラプラタ市内で、現職上院議員であるクリスティーナ・フェルナンデス・デ・キルヒナー女史が大統領選への出馬を宣言しました。,现任参议员、阿根廷第一夫人克里斯蒂娜·费尔南德斯·德·柯克纳 (Cristina Fernandez de Kirchner) 昨晚在距离布宜诺斯艾利斯 50 公里（31英里）的拉普拉塔市 (La Plata) 宣布了其总统竞选资格。,"Last night, in the city of Río de la Plata, 50 kilometers (31 miles) from Buenos Aires, the current Senate member Christina Fernandez de Kirchner announced her candidacy for the presidential election.",0.3382
キルヒネル夫人は、アルゼンチン劇場で大統領選に出馬するという意向を表明しました。2005年にブエノスアイレス州の代表団の一員として上院選への出馬を表明したのもこの劇場でした。,基什内尔女士在阿根廷大剧院宣布她有意参加总统竞选，2005 年也是在这里，她作为布宜诺斯艾利斯省代表开始竞选参议员。,Mrs. Kirchner has stated her intention to run in the presidential election at the Argentina Theater. It was also this theater where she announced her candidacy for the Senate in 2005 as a member of the Buenos Aires state delegation.,0.3449
この議論は、ハリケーン・カトリーナの去った後の救済と復興にかかる支出をめぐる論争に端を発していました。一部の財政保守派は、ユーモアを込めてこれを「ブッシュのニューオリンズ政策」と呼んでいます。,这场辩论是因为对卡特里娜飓风后的救济和重建支出有争议而开始的；一些财政保守派幽默地将其称为“布什的新（奥尔良）政”。,"This debate originated from the controversy over the expenditures related to relief and recovery after Hurricane Katrina. Some fiscal conservatives, in jest, call it “Bush’s New Orleans policy”.",0.3047
復興努力に対するリベラル派からの批判では、ワシントンの内部関係者と思われる人物と復興契約を交わしたことに焦点を当てています。,自由派人士对重建工作的批判主要集中在把重建合同授予了视为华盛顿内部人士的这一做法。,The criticism from liberals against the reconstruction efforts focuses on the fact that he entered into a contract with someone believed to be an insider in Washington.,0.2757
400万人以上が葬儀に参列しようとローマに向かいました。,有 400 多万人前往罗马参加葬礼。,Over 4 million people went to Rome to attend the funeral.,0.2433
参列者の数が多すぎて、全員がサンピエトロ広場での葬儀に参加することは不可能でした。,对于在圣彼得广场举行的葬礼，出席者太多了，因此不可能每个人都能进入。,"The number of attendees was too large, and it was impossible for everyone to attend the funeral at San Pietro Square.",0.2543
ローマの各所には、人々に式典を見てもらおうと、大型テレビ画面がいくつも設置されていました。,罗马各地安装了数个大型电视屏幕，供人们观看仪式。,"In various parts of Rome, several large TV screens were installed to allow people to watch the ceremonies.",0.2408
イタリア国内の他の多くの都市や世界の他の地域（特にポーランド）で同じように設置がされ、多くの人々が視聴しました。,在意大利很多其他城市以及世界上其他地方，尤其是波兰，都设置了类似的设施，以供大量群众观看。,"It was installed similarly in many other cities in Italy and in other parts of the world (especially Poland), and many people watched it.",0.2699
歴史家たちは、過去のFBIの方針が、解決しやすい事件、特に盗難車事件にリソースを集中させ、FBIの成功率を上げることを目的としていると批判しています。,历史学家批判了联邦调查局的过往政策，这种政策会把资源集中到容易破获的案件上，尤以偷车案件居多，目的只在于提高该机构的成功破案率。,"Historians have criticized past FBI policies as aiming to concentrate resources on easy-to-solve cases, especially car theft incidents, in order to increase the FBI’s success rate.",0.295
連邦議会は2005年度から猥褻物取締法への資金提供を開始し、FBIはアダルトポルノに10人の捜査員を投入しなければならないと規定しました。,国会从 2005 财年开始资助该扫黄倡议，并规定联邦调查局 (FBI) 必须指派 10 名探员专门打击成人色情。,"The Federal Congress began providing funding for the Obscene Materials Act in fiscal year 2005, and the FBI was required to assign 10 investigators to adult pornography cases.",0.2995
ロビン・ウタッパは、11本のフォーと2本のシックスを打って、わずか41球でイニング最高得点となる70ランを記録した。,罗宾·乌萨帕 (Robin Uthappa) 取得了本局的最高分，投出了 11 个四分球和 2 个六分球，仅投出 41 个球便赢得 70 分。,"Robin Uttapa hit 11 fours and 2 sixes, scoring 70 runs in just 41 balls—the highest score in an innings.",0.3048
中軸のバッツマン、サチン・テンドルカール、ラホール・ドラヴィッドが連携してうまく試合を運び、100ランを達成しました。,中局击球手萨钦·坦杜尔卡和拉胡尔·德拉维德表现出色，搭档取得了 100 跑的成绩。,"The axelers Batsman, Sachin Tendulkar, and Rahul Dravid worked together to run the match smoothly and achieve 100 runs.",0.2903
しかし、キャプテンのウィケットを失った後、インドは7つのウィケットを失い、36ランしかできませんでした。,但在队长输掉三柱门后，印度在结束这一局的比赛时只得了 36 分，输掉 7 个三柱门。,"However, after the captain lost his wicket, India lost seven wickets and could only score 36 runs.",0.2639
ブッシュ米大統領は16日午前、シンガポールに到着し、１週間のアジア歴訪を開始しました。,美国总统乔治·沃克·布什于 11 月 16 日上午抵达新加坡，开始为期一周的亚洲之行。,President Bush arrived in Singapore on the morning of the 16th and began a one-week Asian tour.,0.2509
シンガポールを訪れた彼は、ウォン・カン・セン副首相から出迎えを受け、リー・シェン・ルーン首相と会談で貿易やテロ問題について話し合いました。,他受到了新加坡副总理黄根成的欢迎，并与新加坡总理李显龙探讨了贸易和恐怖主义问题。,"After visiting Singapore, he was welcomed by Vice Prime Minister Wang Kunsen and met with Prime Minister Lee Hsien-loon to discuss trade and terrorism issues.",0.2884
中間選挙で敗北した1週間後、ブッシュはアジアでの貿易拡大について聴衆に語りました。,在经过一周的中期选举失利后，布什向听众讲述了亚洲贸易扩张的形势。,"A week after losing in the midterm elections, Bush spoke to the audience about expanding trade in Asia.",0.2505
スティーブン・ハーパー首相は、NDP党首であるジャック・レイトン氏と火曜日にPMOで25分間会談した後、その2回目の審議を前にして、政府の「クリーンエア法」を精査するすべての党の委員会に送ることに合意しました。,周二，总理斯蒂芬·哈珀（ Stephen Harper ）在其办公室与新民主党党魁杰克·林顿（ Jack Layton ）举行 25 分钟的会议后，已经同意将政府的《清洁空气法》送交一个多党委员会审查，然后再进行二读。,"Prime Minister Stephen Harper agreed to send the government’s “Clean Air Act” to all party committees before their second review, after meeting with NDP leader Jack Layton for 25 minutes at PMO on Tuesday.",0.3258
レイトン氏は首相との会談で保守党の環境法案に対する変更を求め、保守党の環境法案の「徹底的かつ完全な書き直し」を求めました。,“莱顿 (Layton) 在与首相会面期间要求修改保守党的环境法案，他要求‘彻底重写’保守党的环境法案。”,"Mr. Leighton requested changes to the Conservative Party’s environmental bill during the meeting with the Prime Minister, and demanded a “thorough and complete rewrite” of the bill.",0.3048
連邦政府がタスマニア州デボンポートのマーシー病院の資金調達を引き継ぐために介入して以来、州政府と一部の連邦議員は、この行為を11月までに招集される連邦選挙の前哨戦での煽り行為だとして批判しています。,自从联邦政府介入接管塔斯马尼亚州德文波特的默西医院的资金后，州政府和一些联邦议员批评此举是 11 月联邦大选前的噱头。,"Since the federal government intervened to take over the funding for the Mercy Hospital in Dubbo, Australia, the state government and some federal legislators have criticized this action as a provocation ahead of the federal elections scheduled for November.",0.3362
しかし、ジョン・ハワード首相は、この法律について、4500万豪ドルの追加資金を投入することで、タスマニア政府から格下げされないように病院施設を守るためだけのものだったと述べている。,但澳大利亚总理约翰•霍华德 (John Howard) 表示，该法案只是为了通过额外拨付 4500 万澳元来防止医院设施被塔斯马尼亚政府降级。,"However, Prime Minister John Howard stated that this law was merely intended to protect hospital facilities from being downgraded by the Tasmanian government by allocating an additional $45 million in funding.",0.307
最新速報によれば、海面測定値は津波の発生を示すものでした。パゴパゴとニウエの近くで明らかな津波活動が何回か記録されていました。,最新公报显示，海平面的读数表明已经发生过海啸。帕果帕果和纽埃岛附近确切记录了海啸活动的发生。,"According to the latest reports, the sea level measurements indicated the occurrence of a tsunami. Several clear tsunami activities were recorded near Pago Pago and Niue.",0.2845
トンガでは大被害や負傷者は報告されていません。しかし、一時的に停電が発生し、トンガ当局は太平洋津波警報センター（PTWC）が発令した津波警報を受信できなかったとのことでした。,汤加 (Tonga) 没有重大损失或人员伤亡报告，但电力暂时中断。据报道，停电让汤加当局无法收到太平洋海啸警报中心 (PTWC) 发出的海啸警报。,"No major damage or injuries have been reported in Tonga. However, there was a temporary power outage, and Tonga authorities said they were unable to receive the tsunami warning issued by the Pacific Tsunami Warning Center (PTWC).",0.3385
ハワイの海岸線沿いか海岸線に近い場所にある14校は、警報が解除されたにもかかわらず、水曜日はずっと閉鎖されたままでした。,尽管警报已解除，坐落于夏威夷海岸线或附近的 14 所学校在整个周三都关闭了。,The 14 schools located along or near Hawaii’s coastline remained closed on Wednesday despite the alert being lifted.,0.2453
