Model Name,hy-mt2-1.8b
IP Address/Port,74.2.96.26:32232
Parameters,"temperature=0.7,top_p=0.6,top_k=20,max_tokens=4096,repetition_penalty=1.05"

Input,Expected Output,Actual Output,Time Taken (s)
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.195
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.202
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1915
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1943
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2005
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2208
今天天气很好。,The weather is nice today.,The weather is very good today.,0.1981
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1952
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1943
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1896
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.204
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.197
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2032
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.1968
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2001
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.2087
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2025
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.1974
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.1994
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2084
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.2136
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1991
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2034
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.2118
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.2074
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.2006
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2068
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2006
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1952
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.2084
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2024
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2064
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2129
她喜欢读书。,She likes reading books.,She likes reading books.,0.1918
她喜欢读书。,She likes reading books.,She likes reading books.,0.1992
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2065
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1935
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1959
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.203
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2064
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1906
他要去市场。,He is going to the market.,He is going to the market.,0.2037
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2018
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.2098
她喜欢读书。,She likes reading books.,She likes reading books.,0.1911
他要去市场。,He is going to the market.,He is going to the market.,0.2001
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2171
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.1988
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2122
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2144
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.2003
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.2068
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.2012
她喜欢读书。,She likes reading books.,She likes reading books.,0.2055
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.1939
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.2013
今天天气很好。,The weather is nice today.,The weather is very good today.,0.1932
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2084
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1914
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.1973
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1958
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2026
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2072
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2113
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.1926
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1974
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1975
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.1944
今天天气很好。,The weather is nice today.,The weather is very good today.,0.2083
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1948
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.1962
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2023
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1927
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2081
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.2074
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.1936
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2304
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.2008
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.1924
她喜欢读书。,She likes reading books.,She likes reading books.,0.1937
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2075
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.2044
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.2013
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.1903
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.2048
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1928
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.2046
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1937
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1973
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.2081
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2117
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.1859
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1953
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.2039
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2057
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2011
他要去市场。,He is going to the market.,He is going to the market.,0.1972
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2092
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2097
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.186
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1963
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.211
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2098
他要去市场。,He is going to the market.,He is going to the market.,0.2042
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1984
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1893
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1928
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1916
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1913
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2065
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.2153
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1943
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.2122
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2038
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.19
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1976
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.1989
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2025
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2061
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.1958
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.2
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1914
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.2016
今天天气很好。,The weather is nice today.,The weather is very good today.,0.1946
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.201
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2129
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1982
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.2024
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.1962
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.181
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.199
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.1904
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2066
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2083
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1964
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.2106
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.1991
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1898
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1974
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1946
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2071
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1984
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.2003
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.1922
他要去市场。,He is going to the market.,He is going to the market.,0.1991
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.1943
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.189
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.1961
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1941
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2163
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2123
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2091
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2208
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.1898
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1917
今天天气很好。,The weather is nice today.,The weather is very good today.,0.1986
他要去市场。,He is going to the market.,He is going to the market.,0.1989
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1996
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2141
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1879
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1971
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.1908
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.2005
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1988
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.1909
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1971
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1968
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1852
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.1947
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1912
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2734
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.1876
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2141
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.1953
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1955
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1852
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1969
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2039
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2003
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.1977
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1881
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.199
她喜欢读书。,She likes reading books.,She likes reading books.,0.1999
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1873
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1924
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1938
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2025
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.199
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1962
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.2024
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.2005
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1881
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2008
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.1934
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.2033
她喜欢读书。,She likes reading books.,She likes reading books.,0.1937
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.198
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.21
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.2036
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.1969
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.2021
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.1995
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1942
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.1979
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.1928
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1925
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1917
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1941
她喜欢读书。,She likes reading books.,She likes reading books.,0.1892
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2025
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.1994
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.2307
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.203
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.1897
公司投资了新项目。,The company invested in a new project.,The company invested in new projects.,0.1965
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1885
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1955
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.202
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2077
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1857
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.1995
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.1988
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.1956
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.1897
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.2003
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.1954
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.1983
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1966
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2107
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1873
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.1992
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1865
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1937
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1958
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1869
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2019
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.211
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2026
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1893
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1946
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1951
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1895
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.216
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.1969
她喜欢读书。,She likes reading books.,She likes reading books.,0.1957
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.2049
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.2016
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2068
她喜欢读书。,She likes reading books.,She likes reading books.,0.1972
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2024
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2177
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.19
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1904
今天天气很好。,The weather is nice today.,The weather is very good today.,0.1946
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2034
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1955
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1974
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.2025
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.2093
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1925
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1912
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1893
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.214
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.2225
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1983
她喜欢读书。,She likes reading books.,She likes reading books.,0.1883
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.2107
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.196
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1935
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1891
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1935
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.2075
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.1983
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1899
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2032
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2041
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2169
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1941
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.1995
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2026
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2023
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1991
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2008
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.1976
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2025
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1987
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2051
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1974
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.1914
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1863
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.1985
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1917
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2004
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.1973
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2054
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.2166
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1961
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2009
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.1956
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1923
